# <K/N> <U/N> <E/N> <U/N>
-4.801086e-01 -7.271181e+00 -7.751290e+00 -7.271181e+00
-4.749557e-01 -7.269831e+00 -7.744786e+00 -7.269831e+00
-4.851756e-01 -7.251201e+00 -7.736377e+00 -7.251201e+00
-5.188603e-01 -7.235528e+00 -7.754388e+00 -7.235528e+00
-5.306574e-01 -7.230454e+00 -7.761111e+00 -7.230454e+00
-5.321014e-01 -7.229589e+00 -7.761691e+00 -7.229589e+00
-5.247195e-01 -7.223082e+00 -7.747802e+00 -7.223082e+00
-4.958039e-01 -7.242597e+00 -7.738401e+00 -7.242597e+00
-4.946551e-01 -7.255295e+00 -7.749950e+00 -7.255295e+00
-5.081661e-01 -7.236365e+00 -7.744531e+00 -7.236365e+00
-5.169919e-01 -7.222454e+00 -7.739446e+00 -7.222454e+00
-5.064962e-01 -7.237464e+00 -7.743961e+00 -7.237464e+00
-5.364210e-01 -7.216198e+00 -7.752619e+00 -7.216198e+00
-5.385517e-01 -7.210505e+00 -7.749057e+00 -7.210505e+00
-5.137766e-01 -7.222419e+00 -7.736195e+00 -7.222419e+00
-5.250470e-01 -7.227647e+00 -7.752694e+00 -7.227647e+00
-5.130358e-01 -7.238621e+00 -7.751657e+00 -7.238621e+00
-5.172111e-01 -7.235477e+00 -7.752688e+00 -7.235477e+00
-4.941756e-01 -7.248728e+00 -7.742904e+00 -7.248728e+00
-5.196537e-01 -7.244865e+00 -7.764519e+00 -7.244865e+00
-4.885379e-01 -7.255039e+00 -7.743576e+00 -7.255039e+00
-4.846447e-01 -7.262356e+00 -7.747001e+00 -7.262356e+00
-5.063362e-01 -7.250160e+00 -7.756496e+00 -7.250160e+00
-5.020339e-01 -7.249838e+00 -7.751872e+00 -7.249838e+00
-5.224146e-01 -7.233724e+00 -7.756138e+00 -7.233724e+00
-5.061491e-01 -7.240359e+00 -7.746508e+00 -7.240359e+00
-5.073481e-01 -7.236829e+00 -7.744177e+00 -7.236829e+00
-5.193831e-01 -7.234187e+00 -7.753570e+00 -7.234187e+00
-5.016982e-01 -7.246409e+00 -7.748107e+00 -7.246409e+00
-5.063569e-01 -7.249047e+00 -7.755404e+00 -7.249047e+00
-4.850466e-01 -7.261641e+00 -7.746687e+00 -7.261641e+00
-4.815102e-01 -7.264712e+00 -7.746223e+00 -7.264712e+00
-4.719900e-01 -7.275127e+00 -7.747117e+00 -7.275127e+00
-4.889645e-01 -7.257902e+00 -7.746866e+00 -7.257902e+00
-4.895347e-01 -7.245736e+00 -7.735271e+00 -7.245736e+00
-4.883028e-01 -7.255938e+00 -7.744241e+00 -7.255938e+00
-5.002863e-01 -7.248921e+00 -7.749207e+00 -7.248921e+00
-5.138010e-01 -7.231602e+00 -7.745403e+00 -7.231602e+00
-5.010902e-01 -7.240549e+00 -7.741639e+00 -7.240549e+00
-4.821961e-01 -7.260917e+00 -7.743113e+00 -7.260917e+00
-4.738989e-01 -7.271949e+00 -7.745847e+00 -7.271949e+00
-4.659816e-01 -7.273764e+00 -7.739746e+00 -7.273764e+00
-4.576464e-01 -7.278842e+00 -7.736489e+00 -7.278842e+00
-4.897052e-01 -7.273576e+00 -7.763282e+00 -7.273576e+00
-4.791630e-01 -7.280622e+00 -7.759785e+00 -7.280622e+00
-4.636830e-01 -7.289002e+00 -7.752685e+00 -7.289002e+00
-4.711159e-01 -7.280792e+00 -7.751908e+00 -7.280792e+00
-4.894175e-01 -7.247278e+00 -7.736695e+00 -7.247278e+00
-5.136131e-01 -7.244882e+00 -7.758495e+00 -7.244882e+00
-5.171428e-01 -7.246664e+00 -7.763806e+00 -7.246664e+00
-5.124255e-01 -7.242443e+00 -7.754869e+00 -7.242443e+00
-4.986653e-01 -7.252993e+00 -7.751658e+00 -7.252993e+00
-4.817382e-01 -7.268443e+00 -7.750182e+00 -7.268443e+00
-4.687379e-01 -7.274571e+00 -7.743308e+00 -7.274571e+00
-4.722661e-01 -7.271819e+00 -7.744086e+00 -7.271819e+00
-4.697120e-01 -7.273693e+00 -7.743405e+00 -7.273693e+00
-4.670986e-01 -7.278484e+00 -7.745583e+00 -7.278484e+00
-4.714428e-01 -7.272167e+00 -7.743610e+00 -7.272167e+00
-4.854948e-01 -7.257590e+00 -7.743085e+00 -7.257590e+00
-5.027687e-01 -7.248754e+00 -7.751522e+00 -7.248754e+00
-5.099158e-01 -7.242702e+00 -7.752618e+00 -7.242702e+00
-5.108330e-01 -7.240584e+00 -7.751417e+00 -7.240584e+00
-5.100943e-01 -7.241714e+00 -7.751808e+00 -7.241714e+00
-5.011379e-01 -7.239509e+00 -7.740647e+00 -7.239509e+00
-4.952839e-01 -7.236123e+00 -7.731407e+00 -7.236123e+00
-4.716431e-01 -7.262007e+00 -7.733650e+00 -7.262007e+00
-4.683407e-01 -7.262287e+00 -7.730628e+00 -7.262287e+00
-5.091269e-01 -7.248435e+00 -7.757562e+00 -7.248435e+00
-5.038497e-01 -7.235938e+00 -7.739788e+00 -7.235938e+00
-4.897538e-01 -7.254299e+00 -7.744052e+00 -7.254299e+00
-4.855573e-01 -7.252571e+00 -7.738129e+00 -7.252571e+00
-5.070263e-01 -7.232931e+00 -7.739958e+00 -7.232931e+00
-5.257761e-01 -7.231014e+00 -7.756791e+00 -7.231014e+00
-5.108931e-01 -7.245160e+00 -7.756054e+00 -7.245160e+00
-5.112304e-01 -7.237499e+00 -7.748729e+00 -7.237499e+00
-5.125309e-01 -7.233598e+00 -7.746129e+00 -7.233598e+00
-4.995595e-01 -7.244134e+00 -7.743694e+00 -7.244134e+00
-4.908882e-01 -7.247849e+00 -7.738737e+00 -7.247849e+00
-5.095478e-01 -7.241304e+00 -7.750851e+00 -7.241304e+00
-4.972612e-01 -7.252131e+00 -7.749392e+00 -7.252131e+00
-4.972259e-01 -7.255607e+00 -7.752833e+00 -7.255607e+00
-4.756764e-01 -7.265733e+00 -7.741409e+00 -7.265733e+00
-5.062381e-01 -7.248013e+00 -7.754252e+00 -7.248013e+00
-4.848589e-01 -7.257934e+00 -7.742793e+00 -7.257934e+00
-4.960424e-01 -7.252970e+00 -7.749013e+00 -7.252970e+00
-5.211542e-01 -7.239763e+00 -7.760917e+00 -7.239763e+00
-5.185516e-01 -7.229279e+00 -7.747831e+00 -7.229279e+00
-5.163821e-01 -7.241316e+00 -7.757698e+00 -7.241316e+00
-4.999558e-01 -7.246692e+00 -7.746648e+00 -7.246692e+00
-5.320212e-01 -7.224560e+00 -7.756581e+00 -7.224560e+00
-5.312944e-01 -7.222461e+00 -7.753755e+00 -7.222461e+00
-5.181376e-01 -7.224449e+00 -7.742586e+00 -7.224449e+00
-5.091402e-01 -7.240940e+00 -7.750080e+00 -7.240940e+00
-5.154945e-01 -7.246381e+00 -7.761875e+00 -7.246381e+00
-5.201663e-01 -7.223538e+00 -7.743704e+00 -7.223538e+00
-5.130117e-01 -7.234719e+00 -7.747731e+00 -7.234719e+00
-5.079030e-01 -7.245384e+00 -7.753287e+00 -7.245384e+00
-5.108819e-01 -7.244397e+00 -7.755279e+00 -7.244397e+00
-4.881642e-01 -7.254311e+00 -7.742475e+00 -7.254311e+00
-5.015774e-01 -7.241446e+00 -7.743023e+00 -7.241446e+00
-5.109368e-01 -7.239678e+00 -7.750615e+00 -7.239678e+00
-4.869794e-01 -7.255368e+00 -7.742347e+00 -7.255368e+00
-4.864282e-01 -7.261511e+00 -7.747940e+00 -7.261511e+00
-4.865314e-01 -7.264291e+00 -7.750822e+00 -7.264291e+00
-4.925633e-01 -7.251265e+00 -7.743829e+00 -7.251265e+00
-4.968078e-01 -7.252717e+00 -7.749525e+00 -7.252717e+00
-5.135441e-01 -7.237539e+00 -7.751083e+00 -7.237539e+00
-4.958373e-01 -7.254118e+00 -7.749956e+00 -7.254118e+00
-4.907257e-01 -7.258167e+00 -7.748893e+00 -7.258167e+00
-4.933296e-01 -7.261487e+00 -7.754816e+00 -7.261487e+00
-4.732581e-01 -7.275471e+00 -7.748729e+00 -7.275471e+00
-4.624738e-01 -7.283109e+00 -7.745582e+00 -7.283109e+00
-4.704106e-01 -7.272028e+00 -7.742439e+00 -7.272028e+00
-4.959521e-01 -7.256681e+00 -7.752633e+00 -7.256681e+00
-5.050665e-01 -7.249878e+00 -7.754945e+00 -7.249878e+00
-5.167803e-01 -7.241583e+00 -7.758364e+00 -7.241583e+00
-5.270653e-01 -7.238328e+00 -7.765394e+00 -7.238328e+00
-5.220069e-01 -7.243946e+00 -7.765953e+00 -7.243946e+00
-5.163082e-01 -7.239811e+00 -7.756119e+00 -7.239811e+00
-5.149166e-01 -7.244340e+00 -7.759256e+00 -7.244340e+00
-5.216797e-01 -7.244943e+00 -7.766623e+00 -7.244943e+00
-5.014188e-01 -7.257319e+00 -7.758737e+00 -7.257319e+00
-4.914355e-01 -7.258087e+00 -7.749522e+00 -7.258087e+00
-5.088551e-01 -7.236891e+00 -7.745746e+00 -7.236891e+00
-5.178419e-01 -7.230386e+00 -7.748228e+00 -7.230386e+00
-5.198585e-01 -7.233661e+00 -7.753520e+00 -7.233661e+00
-5.215546e-01 -7.235901e+00 -7.757455e+00 -7.235901e+00
-4.964382e-01 -7.261470e+00 -7.757908e+00 -7.261470e+00
-4.919239e-01 -7.252479e+00 -7.744403e+00 -7.252479e+00
-5.061164e-01 -7.246624e+00 -7.752740e+00 -7.246624e+00
-5.174417e-01 -7.243178e+00 -7.760620e+00 -7.243178e+00
-5.023998e-01 -7.254031e+00 -7.756431e+00 -7.254031e+00
-4.846108e-01 -7.269738e+00 -7.754349e+00 -7.269738e+00
-4.848988e-01 -7.262874e+00 -7.747773e+00 -7.262874e+00
-4.954256e-01 -7.251484e+00 -7.746909e+00 -7.251484e+00
-5.077911e-01 -7.245328e+00 -7.753119e+00 -7.245328e+00
-4.762046e-01 -7.275648e+00 -7.751853e+00 -7.275648e+00
-4.710697e-01 -7.276083e+00 -7.747152e+00 -7.276083e+00
-4.728140e-01 -7.279170e+00 -7.751984e+00 -7.279170e+00
-4.822864e-01 -7.275359e+00 -7.757646e+00 -7.275359e+00
-4.819909e-01 -7.271407e+00 -7.753398e+00 -7.271407e+00
-4.829833e-01 -7.272790e+00 -7.755773e+00 -7.272790e+00
-4.729628e-01 -7.276937e+00 -7.749900e+00 -7.276937e+00
-5.025785e-01 -7.252544e+00 -7.755122e+00 -7.252544e+00
-4.745209e-01 -7.272988e+00 -7.747509e+00 -7.272988e+00
-4.821198e-01 -7.266742e+00 -7.748861e+00 -7.266742e+00
-4.804353e-01 -7.272968e+00 -7.753403e+00 -7.272968e+00
-4.957279e-01 -7.263009e+00 -7.758737e+00 -7.263009e+00
-4.956823e-01 -7.255821e+00 -7.751503e+00 -7.255821e+00
-4.961955e-01 -7.251194e+00 -7.747389e+00 -7.251194e+00
-4.802943e-01 -7.259164e+00 -7.739459e+00 -7.259164e+00
-5.165764e-01 -7.229419e+00 -7.745995e+00 -7.229419e+00
-5.109042e-01 -7.234645e+00 -7.745549e+00 -7.234645e+00
-4.873671e-01 -7.242691e+00 -7.730058e+00 -7.242691e+00
-4.768656e-01 -7.260215e+00 -7.737080e+00 -7.260215e+00
-4.914247e-01 -7.249273e+00 -7.740698e+00 -7.249273e+00
-4.986001e-01 -7.240000e+00 -7.738600e+00 -7.240000e+00
-4.938795e-01 -7.242211e+00 -7.736091e+00 -7.242211e+00
-4.794198e-01 -7.265193e+00 -7.744613e+00 -7.265193e+00
-4.867014e-01 -7.264890e+00 -7.751591e+00 -7.264890e+00
-4.802755e-01 -7.266036e+00 -7.746312e+00 -7.266036e+00
-4.919535e-01 -7.256253e+00 -7.748206e+00 -7.256253e+00
-4.806992e-01 -7.258078e+00 -7.738777e+00 -7.258078e+00
-5.003483e-01 -7.249769e+00 -7.750117e+00 -7.249769e+00
-4.883823e-01 -7.262733e+00 -7.751115e+00 -7.262733e+00
-4.924563e-01 -7.261997e+00 -7.754454e+00 -7.261997e+00
-4.809518e-01 -7.263412e+00 -7.744363e+00 -7.263412e+00
-4.772388e-01 -7.265396e+00 -7.742635e+00 -7.265396e+00
-4.877256e-01 -7.253926e+00 -7.741651e+00 -7.253926e+00
-4.824199e-01 -7.258868e+00 -7.741288e+00 -7.258868e+00
-4.714916e-01 -7.272448e+00 -7.743940e+00 -7.272448e+00
-4.664764e-01 -7.284202e+00 -7.750679e+00 -7.284202e+00
-4.621503e-01 -7.278844e+00 -7.740994e+00 -7.278844e+00
-4.762873e-01 -7.264719e+00 -7.741006e+00 -7.264719e+00
-4.717234e-01 -7.270789e+00 -7.742512e+00 -7.270789e+00
-4.734329e-01 -7.274656e+00 -7.748089e+00 -7.274656e+00
-4.672144e-01 -7.277990e+00 -7.745204e+00 -7.277990e+00
-4.691707e-01 -7.280851e+00 -7.750022e+00 -7.280851e+00
-5.106311e-01 -7.239638e+00 -7.750269e+00 -7.239638e+00
-4.896537e-01 -7.247020e+00 -7.736673e+00 -7.247020e+00
-5.086998e-01 -7.247281e+00 -7.755980e+00 -7.247281e+00
-5.165680e-01 -7.237881e+00 -7.754449e+00 -7.237881e+00
-5.100167e-01 -7.238543e+00 -7.748560e+00 -7.238543e+00
